,Header,Summary,Detail,Link,Category
0,KMU to launch postgraduate training in basic medical sciences,PESHAWAR: The College of Physicians and Surgeons Pakistan (CPSP) has accredited Khyber Medical University for...,"PESHAWAR: The College of Physicians and Surgeons Pakistan (CPSP) has accredited Khyber Medical University for postgraduate training in community medicine, anatomy, biochemistry and physiology.
KMU has become the first medical institution in Khyber Pakhtunkhwa to get approval for Fellow College of Physicians And Surgeons (FCPS) in basic medical sciences.
A fortnight ago, the CPSP’s inspection team comprising Prof Waqar Alam Jan, Prof Naila Azam, Prof Huma Musarat Khan, Prof Alamgir Khan and Prof Aamir Rashid visited KMU and reviewed the facilities available for FCPS training. Now CPSP has given official approval to KMU to start FCPS training in subjects.
KMU Vice-chancellor Prof Ziaul Haq has welcomed the move and thanked CPSP and congratulated all the relevant institutions, according to a press release.
“It will open new avenues of knowledge and research in these fields, which will not only provide an opportunity for new talent to come forward but will also improve the overall health system in the province,” he said.
He said that in the context of KMU’s vision of becoming a global leader in health education and research, the approval of FCPS training was an important development.
He said that starting the training at the varsity would create new opportunities for close interaction and cooperation between CPSP, Postgraduate Medical Institute (PGMI), and KMU in medical education and research.
“We are imparting medical education in various fields from diploma and bachelor to master, MPhil and PhD levels. Now with the approval of FCPS training in four disciplines, KMU has achieved another milestone,” said Prof Zia.
Published in Dawn, December 27th, 2022
",read full story,peshawar
1,Over one kilogram gold seized at Peshawar airport,Customs officials confiscate 1.168kg of gold at Peshawar airport after the carriers fail to produce legal documents for the metal.,"PESHAWAR: The customs officials confiscated 1.168 kilograms of gold at the Bacha Khan International Airport (BKIA) here after the carriers failed to produce legal documents for carrying the metal from Dubai to Pakistan.
Customs officials said that Matiullah, a resident of the provincial capital, reached the airport on Monday from Dubai via an Emirates Airlines flight number EK-636 and was accompanied by his wife.
They said that the couple was carrying 1,168 grams of gold, adding that they were asked to produce documents of the gold.
“We asked them to show us any legal documents but the couple failed to produce any documents,” a senior customs official at BKIA said, adding that the gold worth Rs15 million had been confiscated and transferred to the state’s warehouse. He added that an investigation had been launched into the case.
Meanwhile, the Federal Investigation Agency (FIA) has arrested one person and recovered Rs3.1 million, besides Hundi Hawala receipts from his possession.
FIA officials said that Hamayun Khan was arrested during a raid conducted in Reti Bazaar of the provincial capital on Monday.
“The accused has been charged under relevant sections of Foreign Exchange Regulations Act, 1947, and the case is being investigated,” a senior FIA official said.
Published in Dawn, December 27th, 2022
",read full story,peshawar
2,Employees to close LG directorate’s offices in protest against minister,Allege minister Iqbal Wazir manhandled staff members over recruitment issue.,"PESHAWAR: Employees of the Khyber Pakhtunkhwa Directorate General of the Local Government and Rural Development on Monday announced the closure of all offices of their public sector organisation in the province from today (Tuesday) against the alleged manhandling of their colleagues by relief and rehabilitation minister Mohammad Iqbal Wazir over a recruitment issue.
They declared that the strike would continue until the chief minister removed the minister and the police registered an FIR against him.



 
The announcement came after the directorate’s employees, including DG, directors and assistant directors from across the province, presidents of the local council associations and presidents of the All Secretaries Association at the village and neighborhood councils, held a meeting at the DG’s office in Hayatabad area here.
A participant told Dawn that minister Iqbal Wazir visited the DG’s office on Friday night along with armed supporters and held the employees hostage while demanding the appointment of his men to the Class-IV posts in North Waziristan tribal district.

Allege Iqbal Wazir manhandled staff members over recruitment issue

All offices of the directorate at provincial, district, tehsil and village and neighbourhood council levels will remain closed from Tuesday, according to a statement issued by the association.
It also demanded of the chief minister to de-notify minister Iqbal Wazir and warned if that didn’t happen, then the employees wouldn’t serve visitors as a protest.
The participants condemned the incident of “harassment” and urged the chief minister to order the police to book the minister and his men over it.
They also called for the formation of an inquiry committee to ensure legal action against the “culprits.”
The participants urged the chief minister to ensure protection of government employees saying officials can’t deliver in an insecure atmosphere.
A senior official told Dawn after the meeting that the director-general (local government) had also sent a detailed report about the alleged harassment of employees to the chief secretary for action.
He said the employees had formally requested the Tatara police station to register an FIR against the minister warning that any reluctance on part of the police to act against the minister would force them into approaching the relevant magistrate for relief.
The official insisted that the chief minister had“verbally” ordered the filling of a certain number of Class-IV posts in North Waziristan on the recommendation of to the relevant lawmakers and other authorities, but minister Iqbal Wazir asked officials of the directorate to recruit only those recommended by him against vacancies.
He said that the employees of the directorate and presidents of tehsil municipality unions would meet on Tuesday.
The official said employees of the TMAs would join the strike and close their respective offices across the province from Wednesday.
There is a likelihood of the issuance of birth and death certificates coming to a halt due to the closure of the offices of the council secretaries. Also, the verification of documents for new identity cards and passports will also be affected.
Relief and rehabilitation minister Iqbal Wazir was not available for comments despite repeated attempts.
Published in Dawn, December 27th, 2022
",read full story,peshawar
3,Three labourers injured in wall collapse,PESHAWAR: Three labourers sustained injuries when a wall of an under-construction house fell on them in Nishtarabad...,"PESHAWAR: Three labourers sustained injuries when a wall of an under-construction house fell on them in Nishtarabad area here on Monday.
A police spokesman said that the incident occurred after the labourers made deep excavation under a wall of an under-construction house.
As result, Najeeb Khan, Abdul Haq and Syed Umar sustained injuries and were shifted to a hospital by a Rescue 1122 team. The condition of the injured was stated to be out of danger.
Meanwhile, a motorcyclist, namely Salman Khan, a resident of Latifabad Peshawar, sustained injuries when he put up resistance to thwart a bid by unknown robbers to snatch his two-wheeler near the Phandu Chowk. He was shifted to hospital.
The police have registered a case and started further investigation into the robber attempt.
Published in Dawn, December 27th, 2022
",read full story,peshawar
4,"Bajaur residents stage rally, accuse MNA of ignoring their area",Scores of residents including a number of PTI workers participate in the demonstration.,"BAJAUR: The residents of Inam Khoro Chinagi area of Mamund tehsil in Bajaur tribal district on Monday staged a protest against MNA Gul Zafar Khan for allegedly ignoring their area in development schemes and said that he couldn’t initiate any project in the locality.
Scores of residents including a number of PTI workers participated in the demonstration. They also chanted slogans against the PTI lawmaker for ignoring the area in development projects.
The protesters said that Inam Khoro Chinagi was one of the populated localities of Mamund tehsil having a population of more than 5,000 but the MNA didn’t launch any development scheme there.
They claimed that alongside the PTI workers most of the locals had voted for Gul Zafar Khan in 2018 general elections, hoping that he would put the area on the path of development by initiating projects.
The protesters recalled that the PTI lawmaker had also promised them to give special priority to the area in his development funds to provide basic facilities to locals when he was elected MNA.
They said that majority people of the locals had voted for Gul Zafar Khan against a number of influential and powerful candidates in 2018 general elections after he promised to bring about revolutionary improvement in their lives by launching schemes in almost all sectors, especially education, health, road and drinking water.
However, they alleged that the lawmaker was yet to initiate even a single development scheme in the area during his more than four years tenure.
Published in Dawn, December 27th, 2022
",read full story,peshawar
5,PHC asks Peshawar varsity to pay pension to ex-employees,Rules payments will be made to ICP pensioners until govt’s decision on their status,"PESHAWAR: Accepting the plea of over 260 former employees of the Islamia College Peshawar, the Peshawar High Court has ordered the University of Peshawar to immediately release their pension withheld since August this year.
A bench consisting of Justice Lal Jan Khattak and Justice Sahibzada Asadullah ordered the respondents, including the UoP, to make all due pension payments to the petitioners forthwith until any decision was taken by a committee constituted by the higher education department to determine their status.
It declared that as pension payment was necessary for the well-being and peace of mind of the retirees as well as it was their right, their petition was accepted by the court.
The petition was jointly filed by former ICP associate professor Sher Haider and 260 other pensioners seeking the court’s directives for the respondents, including the UoP vice-chancellor, to release the monthly pension of all former employees withheld since August without further delay.

Rules payments will be made to ICP pensioners until govt’s decision on their status

The petitioners prayed the court to declare void the July 26 letter sent by the UoP registrar to the vice-chancellor of the Islamia College University Peshawar (ICUP) for the payment of pension to the pensioners, who had served in the Islamia College Peshawar, the erstwhile constituent college of the UoP.
The UoP has stopped the payment of pension to the petitioners insisting that after the establishment of the ICUP, the ICP was no longer its constituent college and therefore, the pension for petitioners should be released by the ICUP.
The counsel for petitioners, Nazeer Ahmad, said his clients were pensioners of the UoP as they’d either retired on attaining the age of superannuation or their family members were the former staff members.
He contended that the UoP consisted of other postgraduate departments and undergraduate colleges, including the ICP and Islamia Collegiate School.
The lawyer said the pensioners were recruited in line with the procedure prescribed by the UoP and they had served the university until reaching the age of superannuation.
He said the terms and conditions of service of the teachers or employees applicable to other employees were also applicable to the employees of the ICP and Islamia Collegiate School
The counsel contended that retirement orders for them or their relatives were issued by the UoP as the competent authority.
He added that the benevolent fund contribution, the GP Fund and the pension contribution all were deposited in the UoP’s funds and by all means of law, they (petitioners) were the UoP’s employees.
The lawyer said the UoP had also paid petitioners gratuity, encashment of the “leaves prior to retirement” and all ancillary pensionary benefits to them until July 2022.
He said the ICP got the status of the university through a separate Act passed by the Khyber Pakhtunkhwa Assembly in 2009 and the UoP continued to pay pensions of former staffers of ICP and Islamia Collegiate School.
The counsel appearing for the UoP contended that ICP was no longer constituent college of UoP and it was now attached with the ICUP and therefore, the petitioners should be paid pension by the latter.
He pointed out that for resolving the dispute and determining status of the petitioner the higher education department had constituted a committee through a notification on Sep 23.
The lawyer contended that the UoP had already been facing financial problems and was not in a position to pay the pension of the petitioners.
The bench observed that it reflected from the record that prior to the upgradation of the ICP as university until Aug 2022, the petitioners had been paid their due pension by the UoP without break or ifs and buts.
It added that the petitioners had been paid all pensionary benefits by the respondents since the completion of service term, the act of withholding such benefit to them won’t make sense.
The bench ruled that the respondents had insisted that the university was unable to pay those benefits to the petitioners due to financial constraints but didn’t produce records to prove the assertion.
Published in Dawn, December 27th, 2022
",read full story,peshawar
6,Literature termed true reflection of society,Speakers urge youth to give importance to mother language,"SWAT: Speakers at a literary ceremony here on Monday said that literature was a true reflection of a society and poetry was one of the significant forms of resistance literature.
They were speaking in a poetry recitation event titled “In the name of peace” held in Gwalerai in Matta Tehsil. The event was organised jointly by Spinsar Adabi Taroon, Wekh Zalmyan and Smart Organisation.
Poets, writers, and peace activists from different parts of Khyber Pakhtunkhwa participated in the event.
Hamdard Yousafzai, Fayaz Zafar, Munir Buneri, Ali Khan Umeed, Kharullah, Jawhar Iqbal, Rashid Shalmaney, Husain Ali Seena, Karam Khan Hakim, Bacha Zada Betab, Usman Ali Seena, Inayatur Rehman, and others spoke on the occasion and recited their poems.
They said that literature was a true reflection of a society and poetry was one of the significant forms of resistance literature.

Speakers urge youth to give importance to mother language

“Poets and writers have always highlighted the major developments of society. Literati have never stayed silent even in front of oppressive forces,” said Hamdard Yousafzai. He added that the same thing occurred in Swat and other parts of Malakand division when militants tried to enter the region.
He said that residents of the region resisted militants by holding protests. He added that poets and writers also resisted militants through their writings and poetry.
The speakers said that the activists from Gwalerai gave equal importance to social activities, cultural and literary events and took part in raising awareness about human rights and peace.
“We not only work for peace but also conduct social and literary sessions to raise awareness among people,” said Khairullah, one of the organisers of the event. 
He added that luckily, the educated youth took an active part in all the healthy activities.
The speakers said that mother tongue and literature were indispensable for formation of civilised and enlightened societies.
Fayaz Zafar, who presided over the event, said that the people of Swat showed courage and resilience in the wake of the recent wave of militancy.
“Globalisation has many benefits, but it does not mean that we should forget our mother language and its literature. If we forget our mother tongue, we will lose our identity. 
“Therefore, we must go with the modern trend, but we keep our mother tongue alive and understand our rich cultural heritage,” said Hussain Ali Seena.
He urged the youth to give importance to their mother language, culture and traditions.
Published in Dawn, December 27th, 2022
",read full story,peshawar
7,Talash notified as new tehsil of Lower Dir district,"LOWER DIR: The Khyber Pakhtunkhwa Board of Revenue and Estate Department has issued a notification, making Talash as...","LOWER DIR: The Khyber Pakhtunkhwa Board of Revenue and Estate Department has issued a notification, making Talash as a tehsil of Lower Dir district, claims a chief minister’s aide.
Talking to mediapersons here on Monday, special assistant to chief minister on prisons MPA Shafiullah Khan said one of his promises made with the people had been materialised as the government had notified Talash consisting of 20 village councils as a tehsil of Lower Dir as per the 2017 census.
The lawmaker said new tehsil covered four union councils, including Noorakhel, Shahikhel, Dushkhel and Bandagai.
Mohammad Ibrahim, a former district councillor and PTI activist, said Commissioner Malakand division Shaukat Ali along with MPA Malik Shafiullah Khan would visit the area on Tuesday (today) to formally inaugurate the tehsil.
He said the establishment of a separate tehsil had been a longstanding demand of the locals and the PTI government gave it a practical shape.
Meanwhile, people from different walks of life welcomed the development and thanked the provincial government for it. 
Chief Minister Mahmood Khan, while addressing a public meeting in Timergara recently, had announced the establishment of Talash tehsil.
Published in Dawn, December 27th, 2022
",read full story,peshawar
8,Health dept taking up complaints of hospitals removed from SCP list,Most of the banned facilities want to get empanelled again,"PESHAWAR: The health department has started hearing complaints of those hospitals, which were stopped from treatment of patients on Sehat Card Plus (SCP) for violation of the prescribed criteria.
The department has suspended contracts of 48 hospitals in different districts for not fulfilling the criteria as per agreement. The hospitals have been stopped from providing healthcare services to patients on SCP following complaints about overcharging, poor quality services and lack of infrastructure. The contracts of the hospitals, which have been receiving money from the government in lieu of free services to patients on SCP, had been suspended on December 5.
Now, the grievances committee of health department has started listening to their complaints as most of them want to be empanelled again to earn money. The SCP, which has so empanelled 1,100 hospitals across the country including 200 in Khyber Pakhtunkhwa, had started reassessment of the hospitals to evaluate their performance and availability of the essential services as per agreements.
Officials said that prior to start of the reassessment, the health facilities were clearly conveyed that those not qualifying the basic criteria or failed to achieve the qualifying score would face suspension and removal from the panel of the approved hospitals. These outlets were informed in September last year to improve their services but they failed to do so.

Most of the banned facilities want to get empanelled again

The department has suspended services in those hospitals for the last six months and they have been directed to remove deficiencies and improve overall healthcare services pointed out during the inspections. After stipulated period, the SCP teams would again carry out inspections to examine the improvement in their facilities and if there is no improvement, they would be removed from the list.
Officials said that there was a complaint management system at SCP, which evaluated the performance of the respective hospitals as per agreement. The hospitals are empanelled by teams of experts to suggest treatments for which they are eligible. Some hospitals have been empanelled for chronic ailments or kidney and liver transplants while others were qualified to carry out small surgeries and procedures.
They said that health department was inking agreements with different hospitals in line with their infrastructure. They added that all the hospitals were required to abide by the agreements and provide services to the patients.
The State Life Insurance Corporation, which is implementing the free treatment programme on behalf of the Khyber Pakhtunkhwa government, pays to the empanelled hospitals every month but they are required to offer quality services. After the extension of the programme to the entire province’s 9.5 million families, the department is empanelling more hospitals to cope with the load of patients.
“After suspending the services at the hospitals for lack of facilities, the SCP has empanelled 42 more facilities,” said officials. However, they said that there would be no compromise on quality and breach of agreements would not be tolerated.
The empanelled hospitals cannot charge the patients because it is a cashless treatment programme for all the residents of Khyber Pakhtunkhwa. There should be qualified doctors, staff, operation theatre, blood bank and ICU in the hospitals to get empanelled for the programme. 
Officials said that many complaints were also related to low quality drugs being given to the patients. They added that it was illegal because under the agreements, the medicines given to the patients should be approved by the Drug Regulatory Authority.
So far, 1.1 million patients belonging to Khyber Pakhtunkhwa have received free treatment under the programme costing Rs26 billion.
Published in Dawn, December 27th, 2022
",read full story,peshawar
9,Inclusion of Gujri language in census form promised,He said he would speak to the prime minister to order the mention of the Gujri language in Nadra and census forms....,"He said he would speak to the prime minister to order the mention of the Gujri language in Nadra and census forms.
“The Gujri language is spoken in Hazara division and other parts of the province as well as the country, so the federal government will work for its development like other regional languages,” he said.
The prime minister’s aide urged native speakers of Gujri to educate their children, especially girls, for their community’s development.
He said the children had the right to more and more learning opportunities in their mother languages.
Also in the day, the All Pakistan Istehkam-i-Pakistan Gujjar Convention was held in Haripur with the speakers calling for the inclusion of Gujri language in population census form.
They also demanded the early shifting of the remains of Gujjar leader late Chaudhry Rehmat Ali, who coined the word ‘Pakistan’, from Britain to the country for burial.
The speakers included aide to the prime minister Sardar Shahjehan Yusuf, lawmakers Chaudhry Jaffar Iqbal and Sardar Mohammad Yususf, and Gujjar elders.
The participants included representatives of the community from across the province, Punjab, Islamabad, Azad Jammu and Kashmir, and Gilgit-Baltistan.
They said members of their community had rendered great sacrifices for the country, so the absence of their language from census, Nadra and other key forms was unfair.
They said the voice of Gujjars for their rights would be raise in parliament.
The speakers also demanded the teaching of Gujri language in schools, special quota for the community in FC jobs and resumption of the Gujri news bulletin on the state-run television.
Published in Dawn, December 27th, 2022
",read full story,peshawar
