,Header,Summary,Detail,Link,Category
0,Housing societies eating up agricutlural land in Kohat,KOHAT: Thousands of acres of agricultural land have been used up by housing societies since the influx of Afghans in...,"KOHAT: Thousands of acres of agricultural land have been used up by housing societies since the influx of Afghans in 1981, leaving little to grow vegetables and grains.
President of property dealers’ association, Kamran Shah, told Dawn on contact that there were only two dozen housing societies in 2000, but now their number had increased to 160 registered, and still many unregistered.
He said rapid growth of housing societies had eaten up agricultural land used for growing vegetables, wheat, maize, and fruit on Rawalpindi, Bannu, and Hangu roads.
He said about 32,000 kanals of fertile land in Jarma on Bannu Road had been occupied by the internally displaced people from Orakzai, Kurram, Darra Adamkhel, Waziristan, Swat and Bajaur.
President of Kohat Chamber of Commerce and Industry Haji Rasheed Paracha expressed concern over investment of ‘drug money’ in housing societies.
He deplored that despite merger of former tribal areas with Khyber Pakhtunkhwa, tribesmen were still growing hemp and opium in their own areas and invested the proceeds from sale of drugs to buy land and shops in Kohat.
He claimed that the Afghans were free to buy land in Kohat. He called for imposing ban on land purchase by Afghans.
He said Dhodha area, which previously fulfilled the requirements of vegetables of the city residents, was turned into a residential area after the construction of a cadet college there. Similarly, he said Mir Ahmedkhel area, which was famous for growing cabbage, carrots, guava and wheat, had been turned into a housing society.
He said cost of land in Kohat had increased from a few thousands rupees per marla to more than a million.
Published in Dawn, December 25th, 2022
",read full story,peshawar
1,Policeman survives attack in Lakki,LAKKI MARWAT: A counter-terrorism department (CTD) constable survived an armed attack in Bachkan Ahmadzai village of...,"LAKKI MARWAT: A counter-terrorism department (CTD) constable survived an armed attack in Bachkan Ahmadzai village of Lakki Marwat, said a police official on Saturday. 
The official said that CTD constable Samiullah was going to a football ground in the village when armed men opened fire on him. He said that the constable remained unhurt and later armed villagers formed a ‘lashkar’ and chased the attackers. 
“A large contingent of police also reached the place and joined the villagers to hunt down the miscreants, but they escaped,” he said. 
Meanwhile, Lakki Marwat district police officer Ziauddin Ahmed visited a police station in Bargai area bordering Bitani and Wazir subdivisions on Saturday. SP investigation Murad Khan accompanied him. 
The police station had come under a midnight attack by terrorists last Sunday where four policemen were martyred. The martyred cops along with their colleagues had foiled the assailants’ bid to breach the police station. 
Mr Ahmed checked the security arrangements in and around the police station, met the policemen deployed there and issued fresh security guidelines for them. 
“In the prevailing law and order situation the cops should ensure strict vigilance on the movement of suspects,” he said. 
The district police officer asked the policemen to wear bulletproof jackets and helmets for their own safety and perform their professional duties with commitment.
Published in Dawn, December 25th, 2022
",read full story,peshawar
2,Pipeline fire disrupts gas supply to parts of Peshawar,SNGPL insists drilling by cable operators caused gas leak.,"

Rescue workers try to put out the blaze at gas pipeline in Chamkani area along GT Road in Peshawar on Saturday. — White Star

 
PESHAWAR: The supply of natural gas to many parts of the provincial capital remained suspended for several hours on Saturday after a massive fire broke out in the main pipeline.
The gas utility, SNGPL, restored the supply to the relief of the residents amid the chilly winter.
The fire incident also disrupted gas supply to CNG filling stations forcing transport drivers to stay off the roads.
The police and Rescue 1122 insisted that the main gas pipeline in the Chamkani area caught fire at around 8:45am.
“It was a massive fire. Our firefighters tried to douse the flames for around four hours but they were controlled only after the main pipeline valve was turned off by the SNGPL,” an official of Rescue 1122 told Dawn.

SNGPL insists drilling by cable operators caused gas leak

He said the incident was caused by a wildfire in bushes along the main pipeline.
Officials of the Chamkani police station expressed ignorance about the cause of the fire and said they hadn’t registered a case about the incident.
Officials of the SNGPL said the fire was caused by a gas leak after unidentified cable operators drilled a hole in the main pipeline.
They said the supply of natural gas to various localities was stopped due to repair of the pipeline along the GT Road near the Chamkani Flyover after the fire incident.
The areas included the Tarnab-Hashtnagri section of the GT Road, Old City, Ring Road, and Peshawar cantonment’s localities, including Governor’s House, Chief Minister’s House, Saddar, Shami Road, Dalzak Road and Charsadda Road.
The SNGPL officials claimed speedy work on the pipeline and said the gas utility had directed consumers not to use gas appliances as a precautionary measure against any damage to their life and property during the repairs.
They said staff of the engineering section reached the area shortly after learning about the gas leak and the fire and turned the main valve off for welders to repair the pipeline.
The fire incident also led to the suspension of gas supply to CNG stations disrupting the sale to drivers, including transporters.
Urban Transport Union president Khan Zaman Afridi told Dawn that most transporters opted to stay off the roads during the closure of CNG stations.
He, however, said the drivers, who used petrol, didn’t charge commuters any extra amount.
Mr Afridi said the transporters would increase fares if the gas supply to CNG stations wasn’t restored today (Sunday).
Saleem Khan, a resident of Gulshan Colony, said he learned about disruption of gas supply only waking up in the morning and awaited its resumption for long hours.
He said his area had no gas supply, so the residents struggled to make breakfast and lunch at home.
The resident demanded of authorities to ensure smooth gas supply to the population during the winter season saying children and elderly people suffered the most due to supply outages coupled with harsh weather.
Published in Dawn, December 25th, 2022
",read full story,peshawar
3,Two bodies found in S. Waziristan,SOUTH WAZIRISTAN: Local residents recovered two bodies some 20 kilometres from Wana near the Pak-Afghan border here...,"SOUTH WAZIRISTAN: Local residents recovered two bodies some 20 kilometres from Wana near the Pak-Afghan border here on Saturday, the police said.
They said the deceased were identified as cousins Akhtar Jan and Qamar Zaman, adding they had been missing for last three days.
“The bodies riddled with bullets were found in a mountain stream early Saturday morning near Pak-Afghan border,” a local police official informed Dawn on phone, saying the incident was being investigated.
“This is too early to hold someone responsible for the killings, but the case is being investigated,” the officer said while requesting anonymity.
Locals said that a similar incident had taken place a few days ago when a body was recovered from the same area.
Published in Dawn, December 25th, 2022
",read full story,peshawar
4,"No one hurt as militants attack police van, APC in Dera",Police plan to launch a search and strike operation in Dera Ismail Khan following the recent wave of militancy.,"DERA ISMAIL KHAN: Militants attacked a mobile van of the Kulachi police station with sophisticated weapons and attempted to blow up an armoured personnel carrier (APC) of the police with an improvised explosive device in separate incidents here on Saturday.
District police spokesman Syed Zulqarnain Shah Bukhari told Dawn that some militants attacked the mobile van of Kulachi police with weapons on Saturday morning. 
He said the police promptly retaliated to the attack forcing the attackers to escape the area.
Separately, he said militants had also planted an improvised explosive device in Lone area to target an APC passing through the area. 
He said a blast occurred when the APC reached the spot, adding the militants also opened fire on the vehicle. However, he said the police returned the fire, forcing the attackers to flee.
Meanwhile, the police plan to launch a search and strike operation in Dera Ismail Khan following the recent wave of militancy.
Police sources told Dawn on Saturday that snap checking of people and vehicles also continued throughout the night.
The sources said the operation would be launched in areas, where suspected elements were hiding with the help of their facilitators, adding people living in rented houses will also be checked.
They said during the operation illegal weapons would be seized from people.
Published in Dawn, December 25th, 2022
",read full story,peshawar
5,Members annoyed at absence of officials from Alpuri council meetings,"SHANGLA: Members of the opposition parties in the Alpuri tehsil council walked out of the session on Saturday,...","SHANGLA: Members of the opposition parties in the Alpuri tehsil council walked out of the session on Saturday, protesting against the officials of various departments for not attending the council meetings.
The tehsil council session was chaired by convener Mohammad Alam and attended by members, including the village council chairmen. Council chairman Waqar Ahmad Khan was also present.
Ali Bhash Khan, the opposition leader in the council, said there was no need to hold the sessions if departments’ heads did not bother to participate. “We come here to raise our village councils’ issues before the department heads, but they don’t bother to participate in the sessions,” he deplored.
He said the tehsil municipal officer had declared that the civic body had blacklisted a contractor, who failed to complete schemes, but despite that he was given more schemes.
Javid Khan, chairman Damorai village council, regretted that four months had gone by since the flash floods hit his village council, but still most link roads were blocked by landslides.
Speaking on the occasion, tehsil council chairman, Waqar Ahmad Khan said he would issue notices to heads of departments to ensure their attendance in council sessions at all costs.
He also directed the TMA to present its progress report regarding the roads’ clearance. He ordered the TMA authorities to expedite work on the ongoing development schemes and submit the progress report to him.
He assured the opposition members that their issues would be addressed on priority.
HOUSE GUTTED: A fire caused by an electricity short-circuit gutted a two-storey house in Kareen Dara area of Martung tehsil here on Saturday. However, the family survived.
Martung police station SHO Mohammad Hussain told Dawn that the fire broke out in one of the rooms and engulfed the entire house within no time. He said the local people rushed to the scene and took the family to safety. He said the police also reached the spot and with the help of locals managed to put the fire, preventing it from engulfing the adjacent houses. He said 70 per cent of the house was gutted, reducing goods to ashes.
Published in Dawn, December 25th, 2022
",read full story,peshawar
6,Elder shot dead in Charsadda,CHARSADDA: A local elder was killed and three others were injured when unidentified attackers opened firing on a car...,"CHARSADDA: A local elder was killed and three others were injured when unidentified attackers opened firing on a car they were travelling in here in Shabqadar tehsil on Saturday. 
Local people said that the elder Aitebar Gul was going in a car along with his nephew and guards when the assailants sitting in ambush opened firing on the vehicle. 
As a result, Aitebar Gul was killed on the spot, while the other three men suffered injuries. 
The injured were identified as Zahoor Badshah, Rashid and Mujeeb. They were taken to a local hospital. 
The police registered a case on the complaint of injured Zahoor Badshah against Aliman Shah, Rustam, Omarzad Noor and Usman Khan and have started investigations.
Published in Dawn, December 25th, 2022
",read full story,peshawar
7,Youth urged to follow Quaid’s principles to meet challenges,"Scholars, writers celebrate Jinnah’s birthday","PESHAWAR: Scholars, intellectuals and writers gathered here on Saturday on the eve of the 146th birth anniversary of the father of the nation Quaid-i-Azam Mohammad Ali Jinnah and pledged to uphold his guiding principles of unity, faith and discipline. 
Speakers on this occasion asked the poets and writers to spread the message of Quaid-i-Azam as it was their responsibility to protect the ideological boundaries of the country through their literary works. 
They said that Quaid-i-Azam would remain the beacon of light for the youth to face the modern day challenges. 
The event was arranged under the auspices of Pakistan Academy of Letters (PAL), Peshawar chapter, at its main hall in which intellectuals and writers turned up in large numbers and expressed their views. 

Scholars, writers celebrate Jinnah’s birthday

Dr Fasihuddin Ashraf while chairing the event pointed out that the Muslims of the subcontinent were lucky enough to have Jinnah as their leader who liberated them from the British colonialism as he was blessed with vision, courage and firm determination. 
He said the Quaid knew both the British and Hindus very well and countered them with his deep insight and scholarship. He said the birth of Mr Jinnah was in fact the birth of a nation with firm determination and patriotism that never waned in the face of challenges and sea of problems. 
Bushra Farrukh, a noted Urdu writer, said that literati had never lagged behind and had always upheld the golden principles of Quaid. 
Prof Aslam Taseer in his remarks said that the Quaid’s political vision had motivated poets and writers owing to his unflinching efforts for the freedom of the Muslims of the subcontinent. 
Khan Badsha Nusrat, PAL resident director, Aziz Ejaz, Prof Abdul Sattar, Mumtaz Daulatzai and Dr Khadim Ibrahim also spoke at the event. 
Meanwhile, Pohantoon Adabi Stori held its literary session after a long break at PAL regional office with Wasifullah Daudi in the chair. 
Prof Abasin Yousafzai presented a research paper on the subjective poem, saying such poems composed by eminent Pashto poets were meant to address a particular issue. He said that seasoned poets always expressed their inner self in their poems. 
Later, a poetry session was held in which Habib Nawaz Inqilab, Akhtar Nangyal, Haroon Hewad and Shahid Ali Shahid recited their poems.
Published in Dawn, December 25th, 2022
",read full story,peshawar
8,Govt announces weeklong winter vacation for summer zone,PESHAWAR: The Khyber Pakhtunkhwa government on Saturday announced weeklong winter vacation in the summer zone of the...,"PESHAWAR: The Khyber Pakhtunkhwa government on Saturday announced weeklong winter vacation in the summer zone of the province starting from December 26 after sudden drop in mercury.
The announcement was made through a voice message circulated on social media by secretary elementary and secondary education department Muttasim Billah, saying the vacation in winter zone would span from December 26 till February 15.
On Thursday, the education department had announced to waive winter vacation in schools in summer zone till any unusual change in weather conditions. Following this decision of elementary and secondary education department, the higher education department had on Friday announced vacation in the winter zone from January 1 till February 15, 2023, and waved off the vacation in the summer zone.
Minister for elementary and secondary education Shahram Khan Tarakai also tweeted, “due to the forecast of unusual cold wave and sudden change in weather, it has been decided that schools in the summer zone will remain closed from Dec 25 to January 1, 2023, and schools in the winter zone will remain closed from Dec 25 to Feb 15, 2023.”
“Last year weather was unusually very cold in January, so we thought that winter vacation in summer zone will be announced when weather became colder,” the secretary elementary and secondary education said.
However, he said, on the second day of the government’s decision, a cold wave gripped the areas in summer zone, causing inconvenience to students. A proper notification to this effect will be issued on Saturday night or Sunday, he said.
Published in Dawn, December 25th, 2022
",read full story,peshawar
9,Call for including Gujri language in school syllabus,LOWER DIR: PM’s special assistant Sardar Shahjehan Yousaf has said that the history of Gujjar tribe is full of...,"LOWER DIR: PM’s special assistant Sardar Shahjehan Yousaf has said that the history of Gujjar tribe is full of sacrifices and resistance against oppressors. 
He was addressing the International Gujri Language and Education Conference organised by Tehreek Huquq-i-Gujjar Pakistan (THGP) at Shamlai area of Adenzai as chief guest here on Saturday. 
The members of Gujjar community from all parts of the district attended the function which was also addressed by Gujjar Qaumi Movement chairman Haji Zarin Khan, THQP central president Bakht Zada Gujjar, Raza Khan Gujjar, Punjab MPA Imran Yousaf Gujjar and others. 
Delegates from Punjab, Azad Jammu and Kashmir and abroad also participated in the conference. 
The speakers said that the Gujjars had strongly resisted the British aggression in 1857 war of independence. They said the Gujjar tribe always stood by the Pakistan Army in times of need. They said the tribe would promote unity in the country and never hesitate to fight for the nation’s sovereignty and integrity. 
They said that Gujjars had their own language and traditions and they would never compromise on them. 
The speakers said they would continue the struggle for the economic development and unity of the Gujjars across the country. 
Through a unanimous resolution the participants demanded the government to include the Gujri language in the school syllabus and allocate a separate column for them in the national census. 
Also in the day, in a separate function held in Timergara, the newly-elected representatives of Swati Youth Welfare Association were administered oath. 
The function was attended by Swatis from Punjab and Hazara and Malakand divisions. The association’s president Ahmad Faisal Chattan along with his cabinet took oath. The function was addressed by Mufti Muahidullah Swati, Mukhtar Ahmad and others. They said that Swatis lived in every nook and corner of the country. 
They said the association had planned to establish schools, colleges and universities where the Swati children could get free education. They said the Swati elders would resolve petty issues of people through jirgas.
Published in Dawn, December 25th, 2022
",read full story,peshawar
