,Header,Summary,Detail,Link,Category
0,Gas reserves discovered in DI Khan,This is the 15th oil and gas discovery during the current calendar year.,"DERA ISMAIL KHAN: The ministry of energy has discovered new reserves of gas and condensate from an exploratory well in the Dera Ismail Khan district.
The discovery was made in collaboration with private partners, the ministry said in a statement. The statement said that the reserves were discovered from an exploratory well, namely 92 Kot Palak-1, which is located in Dera’s frontier region (FR).
“The ministry of energy, Petroleum Division, is pleased to announce that joint venture of Baska North Block (3169-4) comprising Al-Haj Enterprises (Pvt) Ltd as operator (10.85pc), Al-Haj Pakistan Kirthar B.V (85pc) and the Government Holdings (Private) Ltd (4.15pc) have discovered gas and condensate from an exploratory well, namely 92 Kot Palak-1, which is located in the Frontier Region of Dera Ismail Khan, Khyber Pakhtunkhwa,” the ministry’s statement said.
The well was drilled down to a depth of 3,527 meters, and as a result of drilling potential hydrocarbon bearing zones were identified showing reserves of 39.12 million standard cubic feet per day gas, 1,840 barrels of condensate per day and 32.8 barrels of water per day, it said.
The statement further said that the discovery would positively contribute to mitigating energy demand and supply gap from indigenous resources, less reliance on imports of oil and gas and would add to the hydrocarbon reserves base of the country.
The statement said the exploratory well was spudded on May 7, 2022, and drilled down to depth of 3,527 meters on November 18, 2022. The state-owned Oil and Gas Development Company Limited (OGDCL) had started the exploration of the oil and gas reserves on June 26 this year.
This is the 15th oil and gas discovery during the current calendar year, the energy ministry’s statement concluded.
Published in Dawn, December 28th, 2022
",read full story,peshawar
1,"Ombudsperson can’t decide women’s property issues, declares PHC",Court asks govt to legislate on matter.,"PESHAWAR: The Peshawar High Court has declared the grant of judicial powers to the provincial anti-harassment ombudsperson for deciding women’s property issues unconstitutional and asked the government for “appropriate” legislation on the matter.
Justice Syed Arshad Ali of a single-member bench ruled that theEnforcement of Women’s Property Rights Act, 2019, was meant to allow the executive limb of the state to conduct a parallel judicial proceeding.
“This, in my humble view, is an excessive delegation of power and would offend the principle of trichotomy of power, which is one of the fundamental value of our constitution where under all the three organs of the State namely the legislature, the executive and the judiciary are required to perform their functions and exercise their powers within the allotted sphere,” it declared.
The bench issued the order while accepting an appeal by Ms Falak Shehnaz and others against the June 18, 2021, orders of the ombudsperson to “attach and seal” the entire disputed property until the disposal of the main complaint.

Court asks govt to legislate on matter

Ghulam MohiuddinMalik was the lawyer for appellants.
The order was issued on a complaint of Ms Khushnood and two other people under Section 4 of the KP Enforcement of Women’s Property Rights Act.
The bench discussed in detail different provisions of the KP Enforcement of Women’s Property Rights Act and the question whether when courts were established under Article 175 of the Constitution, parallel adversarial functions, which the courts exclusively enjoyed, could be conferred upon any limb of the state other than judiciary and whether the office of the ombudsperson fell within the judicial limb of the state.
“Our constitution is founded on the theory of trichotomy of powers between three limbs/ organs of the state, namely the legislature, the executive and the judiciary. It delineates functions of each of the organs,” the bench observed.
The court observed that adversarial functions of the court on any authority would then obviously offend the basic theory of trichotomy.
The court also discussed different offices of ombudsmen established under different laws including that of the federal ombudsman (wafaqi mohtasib), federal tax ombudsman, banking mohtasib, insurance ombudsman, etc. and their respective powers.
Referring to different judgments of the superior courts, the bench ruled that the office of an ombudsman fell in the executive limb of the state though he performed his functions as quasi-judicial and could record evidence, investigate a matter and functioned as a watchdog on government institutions.
It added that it was high time that the issue where a woman was deprived of her property more particularly in inheritance, the provincial government should pass an appropriate legislation to safeguard the women rights but within the sphere of the Constitution.
The bench observed that it was conscious of the fact that in the present legal dispensation and in the absence of appropriate legislation, the women were normally deprived of their share provided in the Sharia in their inherited property.
It ordered the sharing of its judgement with the law and justice department for appropriate action.
While referring to different provisions of the Code of Civil Procedure regarding mode of attachment of immovable properties, the bench observed that Rule 54 of the CPC’s Order 21 did not allow in any way the court to take actual possession of the disputed property and despite issuance of attachment order it remained within the possession of defendants.
It added that ordering sealing of any property by the ombudsperson was not backed by any law and any order for attachment of immovable property should be implemented and interpreted in the manner provided in the said rule.
The court declared the impugned order of the ombudsperson, allowing the sealing of the disputed property, as without jurisdiction and set it aside. However, the order of attachment, the bench ruled, of the disputed property should remain in the field.
It ruled that there was an apparent disparity between sections 4 and 7 of the Act, which had an inherent defect.
The bench declared that Section 4 provided that a woman, who was deprived of her ownership or possession of the property, might file a complaint to the ombudsman if no proceedings in a court of law were pending regarding the property.
It added that Section 7 empowered the ombudsman to entertain a complaint in respect of any dispute relating to a property right of a woman despite the pendency of claim before the competent court of law.
Published in Dawn, December 28th, 2022
",read full story,peshawar
2,"3,800 truant teachers face pay cut","PESHAWAR: The Khyber Pakhtunkhwa government has decided to make deductions from the salaries of 3,800 teachers of...","PESHAWAR: The Khyber Pakhtunkhwa government has decided to make deductions from the salaries of 3,800 teachers of BPS-17 and above for absenting duty.
The decision was taken during a high-level meeting regarding the monitoring mechanism in the education department held here on Tuesday with secretary elementary and secondary education Muttasim Billah Shah in the chair. The meeting was convened on the directives of minister for elementary and secondary education Shahram Khan Tarakai.
The meeting also decided to hold science exhibitions in all schools after the winter vacation. A 10-member committee of women officers was constituted to pay visits to girl schools across the province and check laboratories and cleanliness conditions.
On finding inactive laboratories and poor cleanliness conditions, the committee will issue suspension orders of the officers concerned. The meeting also decided to write letters to all deputy commissioners to inform them that the education department had banned ready-made practical copy, and initiate legal action against the shopkeepers selling it.
Furthermore, the meeting also decided to regularly monitor the training standard of all regional professional development centres.
Published in Dawn, December 28th, 2022
",read full story,peshawar
3,Mansehra residents to petition against delayed cemetery project,MANSEHRA: The residents of Mansehra city and its outskirts on Tuesday announced that they would take the district...,"MANSEHRA: The residents of Mansehra city and its outskirts on Tuesday announced that they would take the district administration to the Peshawar High Court for not acquiring land to construct a graveyard in the region despite the allocation of Rs200 million funds since 2017.
“Our cemeteries have run out of space but the administration hasn’t acquired land for the proposed graveyard despite having funds in its accounts,” Adil Dilawar Khan told reporters.
Accompanied by a group of locals, Mr Khan said the Rs200 million was released by Prime Minister Nawaz Sharif’s government in 2017 for land acquisition but it hadn’t been utilised yet.
He warned the people would take to the streets if the cemetery project was delayed further.
“We want the deputy commissioner to tell us where the graveyard funds have gone,” he said.
The resident said his lawyers had putting the finishing touches to a petition to be filed with the high court’s Abbottabad Circuit Bench on the matter.
He said the anti-corruption establishment would also be approached for necessary action.
“We want all those responsible for this long delay to be taken to justice as the people have suffered from lack of space in graveyards to buy their loves ones,” he said.
Meanwhile, the Pakistan Muslim League-Nawaz will hold the workers’ convention here on Saturday (Dec 31).
PML-N provincial vice-president Riaz Ali Shah told reporters on Tuesday that the function would be attended and addressed by the party’s senior leaders and office-bearers.
He said the success of the workers’ convention would prove the PML-N’s popularity in Hazara division.
PML-N district president Zafar Mehmood said preparations had been finalised for the Dec 31 event, which would attract large crowds of people from across the division. 
Published in Dawn, December 28th, 2022
",read full story,peshawar
4,"Over 10,000kg adulterated spices seized in Peshawar","PESHAWAR: The Khyber Pakhtunkhwa Food Safety and Halal Food Authority confiscated over 10,000 kilograms of...","PESHAWAR: The Khyber Pakhtunkhwa Food Safety and Halal Food Authority confiscated over 10,000 kilograms of adulterated and substandard spices from a production unit during a raid in Hayatabad area here on Tuesday.
The unit was producing substandard spices unfit for human consumption. The action was taken on the directions of the authority’s director general Shahrukh Ali Khan, according to a statement.
The team inspected various food production units in the area. The statement said the spices production unit was found in violation of food safety standard operating procedures, while a range of ingredients, including expired spices, banned China salt and other elements were found on the premises for grinding purposes.
The food safety team sealed the premises over severe violations of flood laws and imposed heavy fines on the culprits.
The statement further said the factory was supplying unsafe spices to various snack-producing units.
Published in Dawn, December 28th, 2022
",read full story,peshawar
5,Protesting employees of LG directorate lock offices,Announce strike to continue until minister sacked for manhandling their colleagues.,"PESHAWAR: Employees of the Khyber Pakhtunkhwa Directorate-General of the Local Government and Rural Development on Tuesday locked their offices to protest the alleged manhandling of their colleagues by relief and rehabilitation minister Mohammad Iqbal Wazir over a recruitment issue.
The protesters announced that the strike would continue until the chief minister removed the minister and the police registered an FIR against him.
No work took place at the offices of the directorate and tehsil and village and neighbourhood councils to the misery of people, who showed up for the issuance of birth and death certificates and verification of documents for new identity cards and passports.
A senior official of the DG office told Dawn that a complete strike was observed across the province and it would continue until demands were met.
He said assistant directors led demonstrations in different districts, while secretaries of the village and neighborhood councils attended them. He said a large rally would be staged in the provincial capital tomorrow (Wednesday).

Announce strike to continue until minister sacked for manhandling their colleagues

The decision about the locking of offices was made in a meeting on Monday that was attended by the DG, directors and assistant directors from across the province, presidents of the local council associations, and heads of the All Secretaries Association at the village and neighborhood councils.
The official said the DG office’s employees also held a meeting on Tuesday with members of the local council association, which represented all tehsil municipal officers.
He said the TMOs had announced support for the strike and said employees of tehsil municipal administrations would partially participate in the strike by wearing black armbands and displaying banners outside their offices and if action wasn’t taken against the minister, those employees, too, would join the strike and suspended sanitation services.
The official said no government representative had contacted protesters on the matter.
A participant of the meeting told Dawn that minister Iqbal Wazir visited the DG’s office on Friday night along with armed supporters and held the employees hostage while demanding the appointment of his men to the Class-IV posts in North Waziristan tribal district.
He insisted that the chief minister had “verbally” ordered the filling of a certain number of Class-IV posts in North Waziristan on the recommendation of the relevant lawmakers and other authorities, but minister Iqbal Wazir asked officials of the directorate to recruit only those recommended by him against vacancies.
Assistant director Ilyas Afridi led a demonstration in Nowshera city, which was attended by the secretaries of village and neighbourhood councils.
The protesters held placards inscribed with slogans against minister Iqbal Wazir.
They said the strike would continue if FIR wasn’t registered against the minister.
Assistant director Ilyas Afridi told Dawn that “hooliganism” by the minister was tantamount to attacking the DG office and insulting its employees.
“We [employees] have joined the government service to serve the people and not to be disrespected by ministers,” he said.
Published in Dawn, December 28th, 2022
",read full story,peshawar
6,Benazir remembered for her services to democracy,PPP activists vow to fulfil her mission,"PESHAWAR: Pakistan Peoples Party leaders and workers in Khyber Pakhtunkhwa on Tuesday observed the 15th death anniversary of former prime minister Benazir Bhutto with a pledge to fulfil her mission for the welfare of the people and strengthening of democracy. 
In Peshawar, the main event was held at the Peshawar Press Club under the aegis of Peoples Doctors Forum (PDF) wherein its president Dr Mohammad Nisar Khan, PPP provincial senior vice-president Syed Ayub Shah, provincial deputy secretary information Syed Tahir Abbas and Misbahuddin shared views. 
They paid tribute to the Bhutto family for offering sacrifices for strengthening democracy in the country, saying the credit went to Zulfikar Ali Bhutto and his daughter Benazir Bhutto who sacrificed their lives, but did not bow before dictators. 
Ayub Shah said that PPP was a democratic party which always fought for the rights of the downtrodden and marginalised class irrespective of their party affiliations. He stressed the need for strengthening the party’s organisational units in all districts. 

PPP activists vow to fulfil her mission

He said it was time to step up efforts for reorganisation of the party to ensure its success in the future elections. 
Another event was held at the residence of party’s district general secretary Khalid Khan where the speakers recalled the services of the party leaders for the welfare of the poor people in the country. 
Similarly, a public meeting of women was held at the residence of Malik Saeed in Pakha Ghulam which was also addressed by women’s wing provincial president Senator Rubina Khalid and Deena Naaz. The speakers praised Benazir Bhutto for her political services. 
The lawmaker said the history of Bhutto family was a living example of sacrifices. She said Peoples Party had always made efforts for the survival of democracy. 
Senator Rubina claimed that her party’s graph was going up and it would come into power as a result of 2023 general elections. 
The PPP leader also criticised Pakistan Tehreek-i-Insaf policies, saying its leaders had been facing serious allegations of corruption in the development schemes, including Peshawar BRT, billion tree tsunami, Malam Jabba land allotment scheme, etc. 
She said that PDM would not remain silent on Imran Niazi’s corruption and illegal activities. 
In Bajaur, PPP workers arranged two separate ceremonies to pay homage to former prime minister Benazir Bhutto. 
The first ceremony arranged by district leadership was held at the PPP district general secretary Mohammad Anees Khan’s residence in Inayat Kallay town in Khar tehsil. 
PPP district president Haji Sher Bahadar and others paid homage to Benazir Bhutto for her services for the promotion of democracy and supremacy of Constitution. 
Another ceremony was organised in Kharkano area where PPP leader Amir Nawab Khan and others highlighted the struggle of Benazir Bhutto for democracy. Similar functions were also held in other parts of the province.
Published in Dawn, December 28th, 2022
",read full story,peshawar
7,CM orders early upgradation of Peshawar hospital,Mahmood says project will reduce burden on existing tertiary health facilitie,"PESHAWAR: Chief Minister Mahmood Khan has directed the quarters concerned to complete all requirements for initiation of work on the extension and upgradation of Naseerullah Babar Hospital in Peshawar, including the transfer of proposed land to the health department as well as completion of its feasibility study.
He termed the project of great importance in view of the increasing population of the provincial capital. He added that the government was working under a well-devised strategy, keeping in view the public needs and requirements of the near future, according to a statement issued here on Tuesday.
The chief minister said that completion of the ongoing development initiatives would bring forth an effective network of service delivery in the province.
He was chairing a progress review meeting regarding the extension and upgradation of Naseerullah Babar Hospital, Peshawar. MPAs Asif Khan and Malik Wajid, higher authorities of health and food departments and other relevant officials attended the meeting. Matters regarding the transfer of land, feasibility and tendering of the project were discussed in detail in the meeting.

Mahmood says project will reduce burden on existing tertiary health facilitie

The chief minister directed the authorities concerned to immediately move a summary for transferring the proposed land to health department to get the matter approved by the provincial cabinet on a priority basis. 
He also directed them to finalise the feasibility study of the project without any delay. 
He said that government would provide the required resources for the purpose.
He said that upgradation of the hospital was of vital importance, keeping in view the increasing demand for health facilities in the region. 
He said that government devised a model of sustainable development involving long, mid and short-term initiatives in various sectors to meet contemporary needs and address future challenges.
He said that upgradation of the hospital was part of that strategy. 
He said that completion of the project would reduce burden on existing tertiary hospitals in Peshawar.
The chief minister said that work on revamping of district headquarters hospitals and establishment of four new tertiary hospitals was also in progress. “These projects, once completed, will provide quality healthcare facilities to people at their doorsteps,” he added.
He said that the provincial government had undertaken reforms in every sector, keeping in view present-day needs and ensuring optimum performance of the existing state machinery.
Published in Dawn, December 28th, 2022
",read full story,peshawar
8,Over Rs250 million released for water supply schemes in Tank,DERA ISMAIL KHAN: The provincial government has released Rs257 million to provide drinking water to the residents of...,"DERA ISMAIL KHAN: The provincial government has released Rs257 million to provide drinking water to the residents of Tank district.
According to district administration, the government has approved 25 schemes for Tank under the ‘least developed districts uplift programme’ to provide clean drinking water to its residents.
Work on drinking water schemes is in progress in Gola/Naurang, Rodikhel, Gara Shahbaz, Azami, Audal, Khanu, Toran, Sheran, Kot Kat and New Abadi Gul Imam.
A committee has been constituted to inspect work on the site. The funds were released on approval of a panel consisting of the officials of relevant departments and assistant commissioners of the district administration.
Meanwhile, the district administration has expedited efforts to complete all the ongoing projects within the stipulated timeline. The assistant commissioners and other relevant officials have been mobilised to visit the sites of schemes on a daily basis and ensure quality and transparency in the ongoing projects.
According to the administration, a multi-pronged strategy is being pursued to accelerate the pace of work on development schemes in the backward district.
The officials of administration claimed that they were determined to play an active role in execution of the development projects.
KILLED: A cloth merchant was shot dead by unidentified persons near Bagh-i-Sukoon on Indus River in the limits of Cantonment police station.
An official said on Tuesday that Ramzan Mughal, a resident of Ameer City near Islamia Colony, lodged a report with Cantonment police station that his brother Junaidur Rehman Mughal, a trader by profession, was killed by unidentified persons when he was going towards Bagh-i-Sukoon after closing his shop in Gomal Market. He said that his brother died on the spot.
He told police that the deceased had no enmity with anyone. Cantonment police registered a case and started investigation.
Published in Dawn, December 28th, 2022
",read full story,peshawar
9,"Kohat area residents seek road, street pavement",KOHAT: The local government members and elders from Gandiali Bala and Payan area have flayed the authorities for not...,"KOHAT: The local government members and elders from Gandiali Bala and Payan area have flayed the authorities for not constructing a road to the region, paving the streets and not allowing constructions on a piece of land. 
Akhtar Jameel, a local body member from Gandiali Bala, told Dawn on Tuesday that an official statement had claimed that assistant commissioner Usman Ashraf had resolved all the problems of Gandiali people during an open kutchery, but said no such forum was held in the area.
On contact, an official clarified that the statement had wrongly been attributed to Gandiali as it related to an open kutchery held in Taulanj Gandiali area.
Mr Jameel said the revenue department officials demanded bribes from locals for allowing construction on a piece of land transferred in their name in 1860.
He said a canal project worth Rs15 million had been put on the back burner.
Elders Israr and Rahib Noor said a bridge on the Rawalpindi road in Ghulam Banda area and construction of a road to Gandiali Bala had long been awaited.
POLICE MARTYRS: District police officer Abdur Rauf Qaisarani on Tuesday met with children of police martyrs and distributed prizes among them.
Speaking at the function, he said the police had been combating the militancy with heroism for more than a decade, according to a statement.
He said the martyrs would always remain alive in their hearts, adding the provincial government had devised a policy for martyrs and their dependents, under which, family of a martyr was given salary till his retirement age, besides payment of sufficient compensation and a job for one sibling of the fallen personnel.
Published in Dawn, December 28th, 2022
",read full story,peshawar
10,Football ground vandalised in Khar,BAJAUR: Local youth and players here on Tuesday demanded the district administration to trace and take action ...,"

A view of the playground in Khar after being damaged by some unidentified persons on Tuesday. — Dawn

 
BAJAUR: Local youth and players here on Tuesday demanded the district administration to trace and take action against the unknown persons who damaged the pitch of a football ground in Khar by using tractors. 
Talking to mediapersons here, scores of youth, players and political and social activists alleged that land mafia damaged the playground located near Plang locality in Khar town early in the morning. 
JUI-F Khar town senior leader Maulana Fazal Muhsin, PML-N leader Nawabzada Wahiduddin Khan, Bajaur Youth Jirga leader Mian Ismail Khan, Bajaur Football Association’s representative Abdul Manan, Abuzar Khan and Murtza Khan condemned the act and called it an attempt to deprive the local youth of sports facility. 
They claimed that the land was donated some 30 years ago for sports by former Nawab of Khar, late Abdul Subhan Khan and it had been used as football ground by the youth of Khar town and its adjacent areas. 
They recalled that while donating the land for sports Abdul Subhan had asked his sons and family members not to allow its use for any other purpose. However, it was claimed that the ground was damaged by land mafia. 
The residents demanded the district administration and police to investigate the matter and take action against those involved in what they called the shameful act.
Published in Dawn, December 28th, 2022
",read full story,peshawar
